time [s], current1, filt,current1_filtered,
5e-07,0.00815926,3.36312e-44,0.0083906,
0.01,0.00704014,7.00649e-45,0.00704014,
0.02,0.00725895,2.8026e-44,0.00725895,
0.03,0.0077041,4.62428e-44,0.00682383,
0.04,0.0077041,2.24208e-44,0.0077041,
0.0500001,0.0077041,4.62428e-44,0.0077041,
0.06,0.00748027,2.8026e-45,0.00748027,
0.0700001,0.00748027,3.08286e-44,0.00815926,
0.08,0.0077041,0,0.00748027,
0.0900001,0.0077041,1.4013e-44,0.00793043,
0.1,0.0077041,3.92364e-44,0.00793043,
0.11,0,3.78351e-44,0,
0.12,0,3.36312e-44,0,
0.13,0,3.92364e-44,0,
0.14,0,4.06377e-44,0,
0.15,0,4.76441e-44,0,
0.16,0,8.40779e-45,0,
0.17,0.00149891,2.10195e-44,0.0016401,
0.18,0.00207869,3.50325e-44,0.00222989,
0.19,0.00192999,0,0.00192999,
0.2,0.00222989,1.68156e-44,0.00253981,
0.21,0.0023836,3.92364e-44,0.0023836,
0.22,0.00192999,1.68156e-44,0.00253981,
0.23,0.00269852,3.78351e-44,0.00302347,
0.24,0.00207869,7.00649e-45,0.00253981,
0.25,0.00207869,4.2039e-44,0.00269852,
0.26,0.00192999,7.00649e-45,0.00192999,
0.27,0.00222989,4.06377e-44,0.00269852,
0.28,0.00253981,1.4013e-45,0.00253981,
0.29,0.00253981,1.82169e-44,0.00269852,
0.3,0.00207869,3.92364e-44,0.00222989,
0.31,0.00253981,1.4013e-45,0.00269852,
0.32,0.00222989,2.66247e-44,0.0023836,
0.33,0.00269852,4.76441e-44,0.00222989,
0.34,0.0023836,1.82169e-44,0.0023836,
0.35,0.00302347,3.64338e-44,0.00302347,
0.36,0.0023836,1.68156e-44,0.00302347,
0.37,0.00253981,3.64338e-44,0.00269852,
0.38,0.00207869,2.8026e-45,0.00269852,
0.39,0.00253981,2.94273e-44,0.00302347,
0.4,0.00285974,3.64338e-44,0.00335843,
0.41,0.00253981,8.40779e-45,0.00269852,
0.42,0.0023836,2.8026e-44,0.00253981,
0.43,0.0023836,1.4013e-45,0.0023836,
0.44,0.00253981,1.68156e-44,0.00285974,
0.45,0.0023836,4.06377e-44,0.00253981,
0.46,0.00253981,2.8026e-45,0.00253981,
0.47,0.00253981,2.8026e-44,0.0031897,
0.48,0.00269852,4.62428e-44,0.00253981,
0.49,0.00285974,1.68156e-44,0.00335843,
0.5,0.0031897,4.62428e-44,0.00285974,
0.51,0.0023836,8.40779e-45,0.00302347,
0.52,0.00302347,3.22299e-44,0.0031897,
0.53,0.00269852,5.60519e-45,0.00302347,
0.54,0.00269852,2.94273e-44,0.00335843,
0.55,0.00302347,4.62428e-44,0.00269852,
0.56,0.00302347,9.80909e-45,0.00335843,
0.57,0.00302347,3.64338e-44,0.00335843,
0.58,0.00253981,7.00649e-45,0.00285974,
0.59,0.00352967,3.22299e-44,0.00352967,
0.6,0.00269852,1.4013e-45,0.00387965,
0.61,0.00302347,1.4013e-44,0.00335843,
0.62,0.0031897,4.62428e-44,0.00285974,
0.63,0.00285974,2.24208e-44,0.00370341,
0.64,0.00335843,4.76441e-44,0.00285974,
0.65,0.00352967,2.8026e-44,0.00370341,
0.66,0.0031897,4.62428e-44,0.00285974,
0.67,0.00285974,1.82169e-44,0.00352967,
0.68,0.00335843,4.34403e-44,0.00335843,
0.69,0.00302347,7.00649e-45,0.00352967,
0.7,0.0031897,2.52234e-44,0.00370341,
0.71,0.00285974,1.4013e-45,0.0031897,
0.72,0.00302347,1.12104e-44,0.00302347,
0.73,0.0031897,3.08286e-44,0.00387965,
0.74,0.00335843,0,0.00335843,
0.75,0.0031897,1.82169e-44,0.00335843,
0.76,0.00387965,4.06377e-44,0.0040584,
0.77,0.00302347,4.2039e-45,0.00335843,
0.78,0.00352967,2.10195e-44,0.0040584,
0.79,0.00335843,3.50325e-44,0.00370341,
0.8,0.00387965,4.62428e-44,0.0031897,
0.81,0.00302347,1.54143e-44,0.00352967,
0.82,0.0031897,4.2039e-44,0.00335843,
0.83,0.00285974,7.00649e-45,0.00370341,
0.84,0.0031897,2.38221e-44,0.0040584,
0.85,0.00335843,4.48416e-44,0.00302347,
0.86,0.00335843,8.40779e-45,0.00335843,
0.87,0.0031897,1.68156e-44,0.00335843,
0.88,0.00370341,4.62428e-44,0.00335843,
0.89,0.00370341,2.38221e-44,0.00442341,
0.9,0.00352967,4.62428e-44,0.00285974,
0.91,0.00285974,2.8026e-45,0.0031897,
0.92,0.00335843,3.08286e-44,0.00442341,
0.93,0.0031897,2.8026e-45,0.0031897,
0.94,0.00335843,1.68156e-44,0.00335843,
0.95,0.00335843,3.50325e-44,0.00387965,
0.96,0.0031897,7.00649e-45,0.0031897,
0.97,0.0031897,3.64338e-44,0.00460967,
0.98,0.00335843,9.80909e-45,0.00370341,
0.99,0.00352967,4.2039e-44,0.00370341,
1,0.00335843,5.60519e-45,0.00387965,
1.01,0.00387965,2.38221e-44,0.0040584,
1.02,0.00352967,1.4013e-45,0.00370341,
1.03,0.00335843,1.54143e-44,0.00352967,
1.04,0.0040584,3.92364e-44,0.0040584,
1.05,0.00352967,8.40779e-45,0.00370341,
1.06,0.00335843,2.38221e-44,0.0040584,
1.07,0.00352967,4.2039e-44,0.00423965,
1.08,0.00370341,7.00649e-45,0.00370341,
1.09,0.00387965,3.64338e-44,0.00442341,
1.1,0.00335843,4.2039e-45,0.00370341,
1.11,0.00352967,2.66247e-44,0.00352967,
1.12,0.00423965,4.2039e-44,0.00423965,
1.13,0.0040584,4.2039e-45,0.00423965,
1.14,0.00387965,2.94273e-44,0.00460967,
1.15,0.0040584,4.48416e-44,0.00352967,
1.16,0.00423965,7.00649e-45,0.00479844,
1.17,0.00460967,3.22299e-44,0.00498971,
1.18,0.00387965,5.60519e-45,0.0040584,
1.19,0.00442341,2.94273e-44,0.00460967,
1.2,0.00460967,4.76441e-44,0.00442341,
1.21,0.00442341,1.26117e-44,0.00460967,
1.22,0.00460967,3.08286e-44,0.00460967,
1.23,0.00460967,4.62428e-44,0.00479844,
1.24,0.00442341,1.12104e-44,0.00442341,
1.25,0.00460967,3.64338e-44,0.00479844,
1.26,0.00460967,2.8026e-45,0.00460967,
1.27,0.00518348,2.24208e-44,0.00518348,
1.28,0.00442341,0,0.00442341,
1.29,0.00498971,2.24208e-44,0.00577983,
1.3,0.00518348,3.78351e-44,0.00518348,
1.31,0.00498971,1.26117e-44,0.00518348,
1.32,0.00577983,4.06377e-44,0.00598362,
1.33,0.00479844,4.2039e-45,0.00537976,
1.34,0.00577983,3.50325e-44,0.00598362,
1.35,0.00479844,2.8026e-45,0.00479844,
1.36,0.00498971,1.4013e-44,0.00557854,
1.37,0.00537976,3.92364e-44,0.00598362,
1.38,0.00498971,9.80909e-45,0.00498971,
1.39,0.00577983,4.48416e-44,0.00557854,
1.4,0.00557854,4.2039e-45,0.00557854,
1.41,0.00661002,3.50325e-44,0.00661002,
1.42,0.00557854,0,0.00557854,
1.43,0.00618992,1.82169e-44,0.00661002,
1.44,0.00661002,4.2039e-44,0.00725895,
1.45,0.00661002,9.80909e-45,0.00661002,
1.46,0.00661002,3.22299e-44,0.00682383,
1.47,0.00639872,0,0.00639872,
1.48,0.00618992,2.10195e-44,0.00682383,
1.49,0.00639872,4.2039e-44,0.00661002,
1.5,0.00661002,1.12104e-44,0.00682383,
1.51,0.00661002,4.06377e-44,0.00704014,
1.52,0.00598362,9.80909e-45,0.00618992,
1.53,0.00661002,3.64338e-44,0.00661002,
1.54,0.00661002,1.4013e-45,0.00618992,
1.55,0.00598362,9.80909e-45,0.00618992,
1.56,0.00748027,3.78351e-44,0.00748027,
1.57,0.00661002,1.68156e-44,0.00725895,
1.58,0.00704014,4.34403e-44,0.00748027,
1.59,0.00682383,1.54143e-44,0.0077041,
1.6,0.00704014,4.2039e-44,0.0077041,
1.61,0.00577983,1.26117e-44,0.00598362,
1.62,0.00387965,2.66247e-44,0.00442341,
1.63,0.00352967,4.76441e-44,0.00352967,
1.64,0.0200315,1.96182e-44,0.020368,
1.65,0.0702394,4.48416e-44,0.0696374,
1.66,0.0626093,4.2039e-45,0.0631812,
1.67,0.0603467,3.22299e-44,0.061473,
1.68,0.0491256,4.48416e-44,0.0501467,
1.69,0.0242349,2.66247e-44,0.0242349,
1.7,0.0242349,4.62428e-44,0.0227937,
1.71,0.0238708,1.12104e-44,0.0276241,
1.72,0.0908241,3.08286e-44,0.0921958,
1.73,0.110939,4.48416e-44,0.110187,
1.74,0.111694,4.62428e-44,0.106464,
1.75,0.105726,7.00649e-45,0.113211,
1.76,0.155277,2.38221e-44,0.158852,
1.77,0.155277,4.2039e-44,0.155277,
1.78,0.115505,0,0.115505,
1.79,0.12411,1.96182e-44,0.124907,
1.8,0.116275,4.34403e-44,0.10353,
1.81,0.156167,4.2039e-45,0.156167,
1.82,0.148248,1.54143e-44,0.150865,
1.83,0.128931,3.78351e-44,0.128931,
1.84,0.127314,1.4013e-45,0.128121,
1.85,0.161559,1.54143e-44,0.162466,
1.86,0.167964,2.66247e-44,0.169816,
1.87,0.171679,3.64338e-44,0.172614,
1.88,0.172614,9.80909e-45,0.174491,
1.89,0.173551,3.64338e-44,0.177326,
1.9,0.170746,1.4013e-45,0.173551,
1.91,0.14738,1.96182e-44,0.14738,
1.92,0.206917,2.38221e-44,0.214145,
1.93,0.378939,4.48416e-44,0.323104,
1.94,0.335997,0,0.300527,
1.95,0.306717,2.24208e-44,0.306717,
1.96,0.254393,3.50325e-44,0.258949,
1.97,0.260094,4.62428e-44,0.256666,
1.98,0.261242,9.80909e-45,0.263545,
1.99,0.262393,2.66247e-44,0.267019,
2,0.265859,4.76441e-44,0.263545,
2.01,0.264701,8.40779e-45,0.270515,
2.02,0.271686,3.36312e-44,0.275212,
2.03,0.271686,1.54143e-44,0.274034,
2.04,0.277575,2.10195e-44,0.279949,
2.05,0.278761,2.8026e-44,0.282332,
2.06,0.276392,2.8026e-45,0.281139,
2.07,0.287129,9.80909e-45,0.287129,
2.08,0.294399,2.52234e-44,0.298068,
2.09,0.299296,3.36312e-44,0.302995,
2.1,0.294399,5.60519e-45,0.29562,
2.11,0.285926,2.8026e-44,0.290753,
2.12,0.277575,3.64338e-44,0.281139,
2.13,0.275212,4.2039e-45,0.275212,
2.14,0.265859,2.38221e-44,0.268182,
2.15,0.261242,4.76441e-44,0.25326,
2.16,0.230049,4.06377e-44,0.231129,
2.17,0.261242,4.76441e-44,0.261242,
2.18,0.212068,1.4013e-45,0.218331,
2.19,0.213105,2.24208e-44,0.218331,
2.2,0.21,4.2039e-44,0.217281,
2.21,0.236568,1.68156e-44,0.237663,
2.22,0.231129,3.36312e-44,0.231129,
2.23,0.192827,2.8026e-45,0.193818,
2.24,0.216233,1.82169e-44,0.216233,
2.25,0.184997,3.78351e-44,0.184997,
2.26,0.183064,4.48416e-44,0.183064,
2.27,0.198806,4.48416e-44,0.199811,
2.28,0.113211,2.8026e-45,0.119379,
2.29,0.128931,1.68156e-44,0.129743,
2.3,0.102078,3.08286e-44,0.107203,
2.31,0.114738,4.2039e-45,0.117047,
2.32,0.111694,2.52234e-44,0.114738,
2.33,0.129743,4.06377e-44,0.131375,
2.34,0.0992045,4.2039e-45,0.0999191,
2.35,0.118599,1.96182e-44,0.119379,
2.36,0.117822,4.06377e-44,0.120946,
2.37,0.121733,1.12104e-44,0.125707,
2.38,0.130558,3.22299e-44,0.131375,
2.39,0.10353,2.8026e-45,0.105726,
2.4,0.12411,1.82169e-44,0.124907,
2.41,0.120161,4.48416e-44,0.120946,
2.42,0.120946,1.26117e-44,0.120946,
2.43,0.113211,3.36312e-44,0.113211,
2.44,0.116275,5.60519e-45,0.120161,
2.45,0.0720603,3.36312e-44,0.0757696,
2.46,0.0543313,1.4013e-45,0.0548656,
2.47,0.0708438,1.68156e-44,0.0732867,
2.48,0.090142,3.92364e-44,0.090142,
2.49,0.0887853,9.80909e-45,0.0942721,
2.5,0.0894624,3.22299e-44,0.0908241,
2.51,0.0881108,8.40779e-45,0.0915087,
2.52,0.0678466,3.50325e-44,0.0678466,
2.53,0.0821523,4.2039e-45,0.0834589,
2.54,0.0828043,1.4013e-44,0.0847755,
2.55,0.0847755,3.22299e-44,0.0867691,
2.56,0.0887853,4.76441e-44,0.0861021,
2.57,0.0854375,2.8026e-45,0.0861021,
2.58,0.0867691,1.68156e-44,0.0874387,
2.59,0.0881108,4.48416e-44,0.090142,
2.6,0.0881108,2.8026e-45,0.0881108,
2.61,0.0861021,1.82169e-44,0.0881108,
2.62,0.0881108,4.34403e-44,0.0834589,
2.63,0.0867691,1.12104e-44,0.0874387,
2.64,0.0867691,2.38221e-44,0.0881108,
2.65,0.0881108,4.34403e-44,0.0887853,
2.66,0.0874387,2.8026e-45,0.090142,
2.67,0.0894624,2.38221e-44,0.0921958,
2.68,0.0887853,4.2039e-45,0.0894624,
2.69,0.0915087,4.2039e-44,0.0921958,
2.7,0.0984923,1.68156e-44,0.10869,
2.71,0.111694,2.66247e-44,0.112451,
2.72,0.10426,4.2039e-44,0.104992,
2.73,0.10353,1.4013e-45,0.10353,
2.74,0.145653,1.54143e-44,0.148248,
2.75,0.153505,3.78351e-44,0.153505,
2.76,0.110187,4.2039e-45,0.110187,
2.77,0.116275,1.96182e-44,0.119379,
2.78,0.125707,4.06377e-44,0.128931,
2.79,0.111694,2.8026e-45,0.114738,
2.8,0.136332,1.4013e-44,0.148248,
2.81,0.225753,3.08286e-44,0.233297,
2.82,0.203856,0,0.203856,
2.83,0.19481,3.08286e-44,0.195805,
2.84,0.182102,4.34403e-44,0.182102,
2.85,0.180184,4.2039e-45,0.183064,
2.86,0.185967,2.38221e-44,0.187915,
2.87,0.184997,4.2039e-44,0.187915,
2.88,0.184997,4.2039e-45,0.186939,
2.89,0.186939,1.96182e-44,0.188892,
2.9,0.186939,0,0.188892,
2.91,0.186939,1.12104e-44,0.187915,
2.92,0.188892,0,0.187915,
2.93,0.185967,1.12104e-44,0.192827,
2.94,0.192827,2.94273e-44,0.193818,
2.95,0.192827,1.26117e-44,0.19481,
2.96,0.198806,3.78351e-44,0.199811,
2.97,0.192827,5.60519e-45,0.196803,
2.98,0.198806,2.10195e-44,0.203856,
2.99,0.198806,3.92364e-44,0.198806,
3,0.195805,1.68156e-44,0.196803,
3.01,0.199811,3.78351e-44,0.203856,
3.02,0.196803,1.4013e-45,0.199811,
3.03,0.19481,3.50325e-44,0.197803,
3.04,0.189872,4.76441e-44,0.189872,
3.05,0.199811,1.4013e-44,0.204874,
3.06,0.207942,3.22299e-44,0.212068,
3.07,0.20897,4.76441e-44,0.207942,
3.08,0.204874,2.10195e-44,0.205894,
3.09,0.192827,3.64338e-44,0.193818,
3.1,0.192827,4.2039e-45,0.195805,
3.11,0.184029,2.10195e-44,0.184997,
3.12,0.158852,3.92364e-44,0.158852,
3.13,0.172614,0,0.172614,
3.14,0.146515,2.24208e-44,0.14738,
3.15,0.162466,4.34403e-44,0.165204,
3.16,0.162466,7.00649e-45,0.163376,
3.17,0.158852,2.52234e-44,0.159752,
3.18,0.144793,2.8026e-45,0.158852,
3.19,0.150865,7.00649e-45,0.150865,
3.2,0.154389,2.94273e-44,0.156167,
3.21,0.0881108,4.76441e-44,0.0867691,
3.22,0.0714508,8.40779e-45,0.0726722,
3.23,0.0942721,3.08286e-44,0.0977827,
3.24,0.112451,4.48416e-44,0.112451,
3.25,0.110187,5.60519e-45,0.112451,
3.26,0.113973,3.36312e-44,0.113973,
3.27,0.0915087,1.4013e-45,0.0956688,
3.28,0.113211,1.54143e-44,0.113211,
3.29,0.109437,3.36312e-44,0.109437,
3.3,0.107203,4.76441e-44,0.104992,
3.31,0.10426,1.54143e-44,0.106464,
3.32,0.0970756,3.08286e-44,0.0977827,
3.33,0.0708438,1.4013e-45,0.0714508,
3.34,0.0821523,2.52234e-44,0.0821523,
3.35,0.0554024,3.78351e-44,0.0554024,
3.36,0.0649119,1.54143e-44,0.069038,
3.37,0.0559418,3.50325e-44,0.0559418,
3.38,0.0337235,7.00649e-45,0.0381028,
3.39,0.0413174,2.94273e-44,0.0441703,
3.4,0.0417866,7.00649e-45,0.0417866,
3.41,0.0491256,2.8026e-44,0.0501467,
3.42,0.0446546,4.2039e-45,0.0456306,
3.43,0.0367628,1.26117e-44,0.0390088,
3.44,0.0548656,3.78351e-44,0.057028,
3.45,0.0581242,8.40779e-45,0.0581242,
3.46,0.0597874,3.92364e-44,0.0597874,
3.47,0.057028,1.12104e-44,0.0597874,
3.48,0.0603467,2.66247e-44,0.061473,
3.49,0.0592305,4.62428e-44,0.057028,
3.5,0.0491256,1.82169e-44,0.0511778,
3.51,0.0491256,3.22299e-44,0.0496349,
3.52,0.0481145,1.4013e-45,0.0491256,
3.53,0.0476127,2.10195e-44,0.0481145,
3.54,0.0471134,0,0.0466166,
3.55,0.0592305,2.94273e-44,0.0597874,
3.56,0.0491256,1.12104e-44,0.0501467,
3.57,0.0532701,3.92364e-44,0.0537994,
3.58,0.0446546,8.40779e-45,0.0496349,
3.59,0.0702394,2.52234e-44,0.0739037,
3.6,0.0867691,4.48416e-44,0.0915087,
3.61,0.0708438,1.12104e-44,0.0726722,
3.62,0.0575749,2.94273e-44,0.0575749,
3.63,0.0564836,4.06377e-44,0.0564836,
3.64,0.110187,4.62428e-44,0.0921958,
3.65,0.0861021,7.00649e-45,0.0861021,
3.66,0.0696374,3.36312e-44,0.0696374,
3.67,0.12411,4.06377e-44,0.125707,
3.68,0.231129,9.80909e-45,0.235475,
3.69,0.186939,2.38221e-44,0.186939,
3.7,0.162466,1.12104e-44,0.162466,
3.71,0.156167,3.50325e-44,0.157059,
3.72,0.142228,1.68156e-44,0.142228,
3.73,0.138004,4.06377e-44,0.139686,
3.74,0.1355,1.12104e-44,0.136332,
3.75,0.140531,4.62428e-44,0.140531,
3.76,0.141379,1.4013e-44,0.142228,
3.77,0.174491,2.94273e-44,0.178276,
3.78,0.276392,8.40779e-45,0.276392,
3.79,0.299296,1.96182e-44,0.299296,
3.8,0.300527,3.50325e-44,0.305474,
3.81,0.244287,4.2039e-45,0.246515,
3.82,0.248753,2.10195e-44,0.254393,
3.83,0.252129,3.50325e-44,0.252129,
3.84,0.249876,4.34403e-44,0.254393,
3.85,0.244287,4.2039e-45,0.251002,
3.86,0.251002,2.24208e-44,0.25326,
3.87,0.249876,3.36312e-44,0.251002,
3.88,0.257806,4.76441e-44,0.252129,
3.89,0.248753,1.82169e-44,0.251002,
3.9,0.246515,4.62428e-44,0.2454,
3.91,0.230049,1.4013e-44,0.232212,
3.92,0.310461,1.96182e-44,0.311714,
3.93,0.335997,3.64338e-44,0.339914,
3.94,0.315488,7.00649e-45,0.315488,
3.95,0.318016,1.96182e-44,0.320555,
3.96,0.325662,2.8026e-44,0.325662,
3.97,0.324382,3.78351e-44,0.329519,
3.98,0.323104,4.2039e-45,0.326945,
3.99,0.328231,1.82169e-44,0.329519,
4,0.328231,3.92364e-44,0.329519,
4.01,0.324382,4.2039e-45,0.325662,
4.02,0.321828,2.38221e-44,0.325662,
4.03,0.316751,3.78351e-44,0.318016,
4.04,0.311714,4.76441e-44,0.30921,
4.05,0.298068,1.96182e-44,0.299296,
4.06,0.29562,3.92364e-44,0.299296,
4.07,0.293181,0,0.290753,
4.08,0.285926,1.96182e-44,0.287129,
4.09,0.260094,3.22299e-44,0.269347,
4.1,0.263545,7.00649e-45,0.267019,
4.11,0.174491,2.38221e-44,0.176379,
4.12,0.198806,3.92364e-44,0.200818,
4.13,0.198806,4.76441e-44,0.192827,
4.14,0.192827,1.82169e-44,0.19481,
4.15,0.187915,3.36312e-44,0.187915,
4.16,0.178276,8.40779e-45,0.184997,
4.17,0.204874,2.94273e-44,0.204874,
4.18,0.187915,1.4013e-45,0.19481,
4.19,0.179229,1.96182e-44,0.181142,
4.2,0.149117,3.64338e-44,0.152622,
4.21,0.0970756,5.60519e-45,0.109437,
4.22,0.13467,9.80909e-45,0.1355,
4.23,0.153505,2.8026e-44,0.155277,
4.24,0.146515,5.60519e-45,0.146515,
4.25,0.123315,2.38221e-44,0.124907,
4.26,0.115505,3.78351e-44,0.115505,
4.27,0.128121,1.12104e-44,0.128931,
4.28,0.128931,2.10195e-44,0.130558,
4.29,0.116275,4.2039e-44,0.116275,
4.3,0.0708438,2.8026e-45,0.0708438,
4.31,0.0928854,1.82169e-44,0.0935775,
4.32,0.0559418,3.64338e-44,0.0592305,
4.33,0.0446546,2.8026e-45,0.0486188,
4.34,0.069038,2.52234e-44,0.0770261,
4.35,0.0726722,4.2039e-45,0.0782927,
4.36,0.0802112,3.08286e-44,0.0802112,
4.37,0.0726722,8.40779e-45,0.0763966,
4.38,0.0714508,3.22299e-44,0.0720603,
4.39,0.0678466,4.62428e-44,0.061473,
4.4,0.0714508,0,0.0708438,
4.41,0.0757696,1.26117e-44,0.0789297,
4.42,0.0726722,4.48416e-44,0.0714508,
4.43,0.068441,1.96182e-44,0.068441,
4.44,0.0763966,2.38221e-44,0.0802112,
4.45,0.0815028,0,0.0815028,
4.46,0.0603467,2.24208e-44,0.0603467,
4.47,0.0543313,4.48416e-44,0.0363211,
4.48,0.0385545,1.96182e-44,0.0413174,
4.49,0.0432093,3.64338e-44,0.0441703,
4.5,0.0118922,1.26117e-44,0.0127065,
4.51,0.0345794,2.52234e-44,0.0345794,
4.52,0.0345794,4.34403e-44,0.035011,
4.53,0.0332994,1.96182e-44,0.0341502,
4.54,0.0324586,4.48416e-44,0.0272375,
4.55,0.0276241,1.54143e-44,0.0280132,
4.56,0.0287989,4.06377e-44,0.0287989,
4.57,0.0264718,5.60519e-45,0.0268534,
4.58,0.0304004,2.66247e-44,0.030807,
4.59,0.0324586,4.34403e-44,0.0312162,
4.6,0.0316278,7.00649e-45,0.0320419,
4.61,0.030807,2.38221e-44,0.0312162,
4.62,0.0276241,4.76441e-44,0.0276241,
4.63,0.0268534,1.12104e-44,0.0276241,
4.64,0.0341502,2.66247e-44,0.0345794,
4.65,0.0446546,4.34403e-44,0.0441703,
4.66,0.0554024,1.54143e-44,0.0564836,
4.67,0.0491256,2.94273e-44,0.0501467,
4.68,0.0481145,4.62428e-44,0.0471134,
4.69,0.0575749,8.40779e-45,0.0637556,
4.7,0.0745232,1.82169e-44,0.0763966,
4.71,0.0881108,3.78351e-44,0.090142,
4.72,0.0714508,4.76441e-44,0.069038,
4.73,0.0491256,5.60519e-45,0.0491256,
4.74,0.114738,3.36312e-44,0.119379,
4.75,0.128121,1.4013e-45,0.129743,
4.76,0.13467,1.12104e-44,0.146515,
4.77,0.185967,2.66247e-44,0.188892,
4.78,0.123315,4.2039e-44,0.12411,
4.79,0.127314,1.26117e-44,0.128931,
4.8,0.12411,3.36312e-44,0.124907,
4.81,0.111694,4.2039e-45,0.114738,
4.82,0.118599,2.52234e-44,0.118599,
4.83,0.122523,4.48416e-44,0.116275,
4.84,0.0992045,1.68156e-44,0.0999191,
4.85,0.165204,2.24208e-44,0.175434,
4.86,0.384487,4.62428e-44,0.306717,
4.87,0.277575,1.4013e-44,0.281139,
4.88,0.270515,1.82169e-44,0.270515,
4.89,0.252129,3.64338e-44,0.252129,
4.9,0.20897,1.4013e-45,0.20897,
4.91,0.244287,1.4013e-44,0.2454,
4.92,0.244287,3.78351e-44,0.2454,
4.93,0.246515,1.26117e-44,0.252129,
4.94,0.238761,3.50325e-44,0.238761,
4.95,0.260094,4.34403e-44,0.261242,
4.96,0.232212,5.60519e-45,0.238761,
4.97,0.212068,1.96182e-44,0.212068,
4.98,0.242069,4.06377e-44,0.243177,
4.99,0.226823,7.00649e-45,0.230049,
5,0.220439,2.38221e-44,0.220439,
5.01,0.260094,4.48416e-44,0.261242,
5.02,0.249876,1.4013e-45,0.251002,
5.03,0.25326,2.52234e-44,0.25326,
5.04,0.256666,4.06377e-44,0.260094,
5.05,0.254393,8.40779e-45,0.257806,
5.06,0.262393,1.96182e-44,0.263545,
5.07,0.262393,4.62428e-44,0.261242,
5.08,0.257806,8.40779e-45,0.260094,
5.09,0.261242,3.22299e-44,0.261242,
5.1,0.279949,1.4013e-45,0.282332,
5.11,0.296843,1.12104e-44,0.298068,
5.12,0.279949,1.96182e-44,0.279949,
5.13,0.269347,2.52234e-44,0.270515,
5.14,0.187915,3.92364e-44,0.19184,
5.15,0.196803,4.2039e-45,0.199811,
5.16,0.225753,9.80909e-45,0.228971,
5.17,0.230049,2.8026e-44,0.231129,
5.18,0.205894,4.2039e-44,0.202841,
